"State","Year","Overweight Adults (%)"
"IN",2020,27.2
"WV",2017,27.2
"HI",2017,27.2
"MN",2014,27.2
"IA",2013,27.2
"IA",2014,27.2
"AZ",2014,27.2
"IA",2012,27.2
"MS",2019,27.2
"RI",2019,27.2
"TX",2019,27.2
"MI",2011,27.2
"GA",2015,27.2
"IL",2013,27.2
"CO",2012,27.2
"ID",2016,27.2
"NE",2016,27.2
"WY",2021,27.2
"LA",2021,27.2
"SD",2021,27.2
"KS",2021,27.2
"KY",2021,27.2
"RI",2021,27.2
"WV",2021,27.2
"IN",2022,27.2
"NC",2018,27.3
"KY",2018,27.3
"LA",2018,27.3
"MD",2018,27.3
"TX",2018,27.3
"WV",2018,27.3
"AR",2020,27.3
"AR",2020,27.3
"IA",2020,27.3
"NJ",2017,27.3
"OH",2017,27.3
"IN",2017,27.3
"AR",2011,27.3
"NH",2019,27.3
"SC",2015,27.3
"MD",2015,27.3
"WA",2012,27.3
"MA",2013,27.3
"OK",2012,27.3
"OR",2013,27.3
"NV",2014,27.3
"UT",2012,27.3
"WY",2011,27.3
"MS",2015,27.3
"MD",2011,27.3
"NC",2021,27.3
"DE",2022,27.3
"DE",2022,27.3
"DE",2022,27.3
"IA",2022,27.3
"LA",2022,27.3
"MA",2022,27.3
"MO",2022,27.3
"FL",2018,27.4
"CO",2017,27.4
"SD",2017,27.4
"VA",2011,27.4
"DE",2015,27.4
"WI",2019,27.4
"UT",2011,27.4
"MO",2013,27.4
"GA",2015,27.4
"OR",2013,27.4
"LA",2013,27.4
"OR",2013,27.4
"MN",2012,27.4
"NV",2014,27.4
"WA",2016,27.4
"IL",2022,27.4
"NH",2016,27.4
"IN",2021,27.4
"OR",2021,27.4
"SC",2021,27.4
"VT",2021,27.4
"AR",2022,27.4
"ME",2022,27.4
"TN",2022,27.4
"IL",2016,27.5
"MI",2018,27.5
"KS",2018,27.5
"MO",2018,27.5
"SC",2018,27.5
"LA",2018,27.5
"GA",2020,27.5
"IN",2020,27.5
"OH",2020,27.5
"OH",2020,27.5
"AK",2017,27.5
"OH",2017,27.5
"HI",2014,27.5
"NM",2011,27.5
"FL",2017,27.5
"MN",2017,27.5
"MS",2017,27.5
"ME",2011,27.5
"OH",2019,27.5
"MA",2015,27.5
"MA",2015,27.5
"VT",2015,27.5
"TN",2012,27.5
"AR",2015,27.5
"MD",2015,27.5
"ME",2012,27.5
"IL",2015,27.5
"MS",2016,27.5
"SD",2016,27.5
"WV",2021,27.5
"MS",2021,27.5
"IN",2022,27.5
"ME",2022,27.5
"NJ",2022,27.5
"TN",2022,27.5
"MO",2018,27.6
"DE",2018,27.6
"IL",2018,27.6
"NM",2020,27.6
"OK",2020,27.6
"MS",2020,27.6
"WV",2020,27.6
"KY",2020,27.6
"HI",2020,27.6
"HI",2017,27.6
"IA",2017,27.6
"AK",2017,27.6
"WY",2017,27.6
"WI",2017,27.6
"UT",2015,27.6
"OR",2017,27.6
"NV",2017,27.6
"MI",2019,27.6
"MD",2019,27.6
"CA",2014,27.6
"MD",2015,27.6
"AR",2015,27.6
"WA",2013,27.6
"UT",2014,27.6
"ID",2011,27.6
"KS",2013,27.6
"NC",2013,27.6
"HI",2011,27.6
"IN",2021,27.6
"CT",2022,27.6
"IN",2022,27.6
"LA",2022,27.6
"OR",2016,27.7
"KY",2018,27.7
"UT",2018,27.7
"WY",2018,27.7
"IA",2020,27.7
"CA",2020,27.7
"MD",2017,27.7
"IN",2017,27.7
"CO",2017,27.7
"SD",2017,27.7
"AR",2017,27.7
"OH",2014,27.7
"WI",2019,27.7
"IN",2019,27.7
"WY",2012,27.7
"MS",2019,27.7
"ID",2019,27.7
"ND",2014,27.7
"AR",2019,27.7
"WV",2014,27.7
"WI",2014,27.7
"AL",2014,27.7
"UT",2011,27.7
"CA",2012,27.7
"ID",2015,27.7
"UT",2013,27.7
"VT",2012,27.7
"AZ",2011,27.7
"UT",2016,27.7
"AR",2016,27.7
"ND",2016,27.7
"VT",2021,27.7
"LA",2021,27.7
"AL",2021,27.7
"AK",2022,27.7
"MN",2022,27.7
"NH",2022,27.7
"MO",2011,27.8
"ID",2018,27.8
"WV",2018,27.8
"TX",2016,27.8
"MS",2018,27.8
"IN",2018,27.8
"CA",2018,27.8
"NJ",2017,27.8
"KY",2020,27.8
"WV",2020,27.8
"WV",2020,27.8
"SC",2020,27.8
"ID",2020,27.8
"UT",2017,27.8
"MN",2013,27.8
"CO",2012,27.8
"CT",2017,27.8
"IA",2012,27.8
"UT",2019,27.8
"ME",2019,27.8
"TX",2013,27.8
"RI",2011,27.8
"MT",2013,27.8
"WY",2014,27.8
"IL",2011,27.8
"TX",2011,27.8
"AK",2013,27.8
"MA",2015,27.8
"LA",2013,27.8
"SD",2015,27.8
"AR",2016,27.8
"VA",2016,27.8
"AR",2016,27.8
"SD",2021,27.8
"KS",2021,27.8
"VT",2021,27.8
"OK",2022,27.8
"WA",2021,27.8
"UT",2021,27.8
"AZ",2022,27.8
"SD",2022,27.8
"VT",2022,27.8
"HI",2016,27.9
"KY",2018,27.9
"AK",2018,27.9
"MT",2020,27.9
"DE",2020,27.9
"VA",2020,27.9
"MS",2017,27.9
"GA",2017,27.9
"MA",2012,27.9
"CA",2012,27.9
"KY",2015,27.9
"WA",2017,27.9
"WI",2017,27.9
"MD",2012,27.9
"HI",2019,27.9
"MO",2019,27.9
"SC",2012,27.9
"MS",2019,27.9
"NV",2011,27.9
"NH",2013,27.9
"IL",2013,27.9
"ND",2015,27.9
"KS",2015,27.9
"SC",2014,27.9
"VA",2012,27.9
"NV",2011,27.9
"GA",2016,27.9
"KY",2021,27.9
"AK",2021,27.9
"AR",2021,27.9
"GA",2022,27.9
"MN",2022,27.9
"TN",2022,27.9
"VT",2022,27.9
